date,year,month,week,day_of_week,restaurant_id,city_code,region_code,center_type,op_area,unique_meals,dominant_category,dominant_cuisine,avg_checkout_price,avg_base_price,emailer_promo_rate,homepage_feature_rate,is_weekend,is_holiday,special_event,temperature_c,precipitation_mm,estimated_customers,num_orders,food_sold_kg,food_prepared_kg,food_waste_kg
2018-01-01,2018,1,1,Monday,10,590,56,TYPE_B,6.3,45,Beverages,Thai,279.14388636632845,300.493569313381,0.1111111111111111,0.044444444444444446,0,1,1,18.5,1.0,1930,3016,898.56,986.32,87.76
2018-01-01,2018,1,1,Monday,11,679,56,TYPE_A,3.7,42,Beverages,Thai,259.29513381719215,277.4755624858244,0.11904761904761904,0.14285714285714285,0,1,1,18.5,1.0,1514,2100,605.61,665.45,59.84
2018-01-01,2018,1,1,Monday,13,590,56,TYPE_B,6.7,45,Beverages,Thai,263.44108631607463,283.023964985947,0.1111111111111111,0.13333333333333333,0,1,1,18.5,1.0,2347,3678,1072.0,1177.65,105.65
2018-01-01,2018,1,1,Monday,14,654,56,TYPE_C,2.7,39,Beverages,Thai,271.932431640625,298.77857964409725,0.1282051282051282,0.2564102564102564,0,1,1,18.5,1.0,867,1107,325.74,358.36,32.62
2018-01-01,2018,1,1,Monday,17,517,56,TYPE_A,3.2,40,Beverages,Thai,271.6642287169537,295.8293754547659,0.125,0.125,0,1,1,18.5,1.0,711,982,283.79,311.81,28.02
2018-01-01,2018,1,1,Monday,20,522,56,TYPE_A,4.0,42,Beverages,Thai,271.5135305742851,297.7105661474076,0.11904761904761904,0.19047619047619047,0,1,1,18.5,1.0,737,1024,294.74,324.0,29.26
2018-01-01,2018,1,1,Monday,23,698,23,TYPE_A,3.4,44,Beverages,Italian,292.77240125599076,313.42672533465543,0.11363636363636363,0.11363636363636363,0,1,1,17.5,1.2,1041,1441,445.96,489.85,43.89
2018-01-01,2018,1,1,Monday,24,614,85,TYPE_B,3.6,44,Beverages,Thai,268.456890062727,282.58757741828987,0.11363636363636363,0.06818181818181818,0,1,1,18.2,1.2,1174,1804,527.44,579.11,51.67
2018-01-01,2018,1,1,Monday,26,515,77,TYPE_C,3.0,32,Beverages,Italian,273.66513859275057,288.49763326226014,0.125,0.15625,0,1,1,18.9,1.2,567,726,220.02,241.82,21.8
2018-01-01,2018,1,1,Monday,27,713,85,TYPE_A,4.5,45,Beverages,Thai,261.9301098901099,280.09737998843264,0.1111111111111111,0.17777777777777778,0,1,1,18.2,1.2,1476,2059,612.64,673.29,60.65
2018-01-01,2018,1,1,Monday,29,526,34,TYPE_C,4.0,34,Sandwich,Italian,284.54670252502615,295.1856432093232,0.11764705882352941,0.058823529411764705,0,1,1,17.8,1.0,636,820,238.66,262.03,23.37
2018-01-01,2018,1,1,Monday,30,604,56,TYPE_A,3.5,45,Beverages,Thai,277.957376866312,299.5579337566501,0.1111111111111111,0.2222222222222222,0,1,1,18.5,1.0,1002,1388,416.45,457.86,41.41
2018-01-01,2018,1,1,Monday,32,526,34,TYPE_A,3.8,37,Beverages,Italian,286.25639485627835,296.1085885022693,0.10810810810810811,0.08108108108108109,0,1,1,17.8,1.0,567,787,239.37,262.82,23.45
