Model,Fold,Train Start Date,Train End Date,Validation Start Date,Validation End Date,Training Records,Validation Records,MAE,RMSE,R2 Score
Linear Regression,1,0,119,120,237,9148,9003,18.680490553842496,23.688251700212135,-0.6158645493804629
Decision Tree,1,0,119,120,237,9148,9003,8.715819641157497,12.41407734689623,0.5562198946519947
Random Forest,1,0,119,120,237,9148,9003,7.835631754104665,10.989919479403726,0.6522012987617865
Gradient Boosting,1,0,119,120,237,9148,9003,7.407410694910631,10.603852890847952,0.6762078443520048
Linear Regression,2,0,237,238,355,18151,9086,16.034295517617295,18.66436666616029,0.06128461115881667
Decision Tree,2,0,237,238,355,18151,9086,8.949587551500459,12.98761170358577,0.5454663777873229
Random Forest,2,0,237,238,355,18151,9086,7.0468987114380806,9.867448420215682,0.7376282017095356
Gradient Boosting,2,0,237,238,355,18151,9086,7.672894950678122,10.382735233321911,0.7095101375964827
Linear Regression,3,0,355,356,473,27237,9086,20.25061943919377,23.201048262798373,-0.7845982246949028
Decision Tree,3,0,355,356,473,27237,9086,8.852318332202783,12.209712013344122,0.5057620579391391
Random Forest,3,0,355,356,473,27237,9086,7.57120786915941,10.34119093027494,0.6454590901722999
Gradient Boosting,3,0,355,356,473,27237,9086,6.621138112306043,9.15952882832633,0.7218548386047314
Linear Regression,4,0,473,474,591,36323,9086,9.246127729747258,13.486720703816076,0.5749141498565095
Decision Tree,4,0,473,474,591,36323,9086,8.956093437492882,12.58467728676449,0.629875283502384
Random Forest,4,0,473,474,591,36323,9086,7.300498425666149,10.38578690190098,0.7479174775115534
Gradient Boosting,4,0,473,474,591,36323,9086,7.528095879359354,11.188943440642879,0.7074217228291774
Linear Regression,5,0,591,592,709,45409,9086,9.195139822961925,12.78776828543554,0.6002831200190148
Decision Tree,5,0,591,592,709,45409,9086,7.775200179972829,10.40710041970298,0.7352582333351976
Random Forest,5,0,591,592,709,45409,9086,6.578904167560545,8.635020301550975,0.8177406998701297
Gradient Boosting,5,0,591,592,709,45409,9086,7.49653215153654,9.796653624951176,0.7654051473997068
